t,b0_x,b1_fx,b1_x,b2_fx,b2_x
0,0.7200000000000001,1.0,0.81,1.0,0.855
1,0.6120000000000001,0.85,0.6885,0.85,0.72675
2,0.5202,0.7224999999999999,0.585225,0.7224999999999999,0.6177374999999999
3,0.44217,0.6141249999999999,0.49744124999999995,0.6141249999999999,0.5250768749999999
4,0.37584449999999997,0.5220062499999999,0.42282506249999996,0.5220062499999999,0.4463153437499999
5,0.319467825,0.44370531249999995,0.35940130312499996,0.44370531249999995,0.3793680421874999
6,0.27154765124999997,0.37714951562499993,0.30549110765625,0.37714951562499993,0.3224628358593749
7,0.23081550356249997,0.3205770882812499,0.25966744150781246,0.3205770882812499,0.2740934104804687
8,0.196193178028125,0.27249052503906246,0.22071732528164062,0.27249052503906246,0.2329793989083984
9,0.16676420132390624,0.23161694628320306,0.1876097264893945,0.23161694628320306,0.1980324890721386
10,0.14174957112532027,0.1968744043407226,0.1594682675159853,0.1968744043407226,0.16832761571131782
11,0.12048713545652225,0.1673432436896142,0.1355480273885875,0.1673432436896142,0.14307847335462015
12,0.10241406513804391,0.14224175713617207,0.11521582328029939,0.14224175713617207,0.12161670235142712
13,0.08705195536733731,0.12090549356574626,0.09793344978825448,0.12090549356574626,0.10337419699871304
14,0.07399416206223672,0.10276966953088432,0.0832434323200163,0.10276966953088432,0.08786806744890609
15,0.06289503775290121,0.08735421910125167,0.07075691747201386,0.08735421910125167,0.07468785733157017
16,0.053460782089966026,0.07425108623606391,0.06014337985121177,0.07425108623606391,0.06348467873183464
17,0.045441664776471116,0.06311342330065432,0.051121872873530004,0.06311342330065432,0.053961976922059444
18,0.03862541506000045,0.053646409805556176,0.04345359194250051,0.053646409805556176,0.04586768038375053
19,0.032831602801000385,0.04559944833472275,0.03693555315112543,0.04559944833472275,0.03898752832618795
20,0.027906862380850325,0.03875953108451433,0.03139522017845661,0.03875953108451433,0.033139399077259754
21,0.023720833023722774,0.03294560142183718,0.02668593715168812,0.03294560142183718,0.028168489215670788
22,0.02016270807016436,0.028003761208561607,0.022683046578934902,0.028003761208561607,0.023943215833320174
23,0.017138301859639705,0.023803197027277366,0.01928058959209467,0.023803197027277366,0.020351733458322148
24,0.014567556580693747,0.02023271747318576,0.016388501153280464,0.02023271747318576,0.017298973439573824
